Disease,Symptoms
Alzheimer's Disease,"fatigue, fever, weight loss, uncontrollable leg movement, night sweats"
Alzheimer's Disease,"weight loss, fever, night sweats, uncontrollable leg movement, fatigue"
Alzheimer's Disease,"uncontrollable leg movement, night sweats, fever, fatigue, weight loss"
Alzheimer's Disease,"fever, uncontrollable leg movement, fatigue, weight loss, night sweats"
Alzheimer's Disease,"uncontrollable leg movement, weight loss, fever, night sweats, fatigue"
Alzheimer's Disease,"weight loss, uncontrollable leg movement, night sweats, fever, fatigue"
Amebiasis,"swollen salivary glands, cough, mucus production, wheezing, fatigue"
Amebiasis,"swollen salivary glands, mucus production, cough, wheezing, fatigue"
Amebiasis,"wheezing, cough, swollen salivary glands, mucus production, fatigue"
Amebiasis,"cough, mucus production, wheezing, fatigue, swollen salivary glands"
Amebiasis,"wheezing, cough, swollen salivary glands, fatigue, mucus production"
Amebiasis,"swollen salivary glands, mucus production, fatigue, cough, wheezing"
Amebiasis,"mucus production, swollen salivary glands, cough, wheezing, fatigue"
Amebiasis,"cough, mucus production, wheezing, swollen salivary glands, fatigue"
Amebiasis,"cough, mucus production, fatigue, swollen salivary glands, wheezing"
Amyotrophic Lateral Sclerosis (ALS),"loss of grip strength, impaired reflexes, stiff muscles, muscle weakness, clumsiness"
Amyotrophic Lateral Sclerosis (ALS),"clumsiness, impaired reflexes, stiff muscles, loss of grip strength, muscle weakness"
Amyotrophic Lateral Sclerosis (ALS),"muscle weakness, clumsiness, stiff muscles, impaired reflexes, loss of grip strength"
Amyotrophic Lateral Sclerosis (ALS),"impaired reflexes, loss of grip strength, clumsiness, stiff muscles, muscle weakness"
Amyotrophic Lateral Sclerosis (ALS),"stiff muscles, clumsiness, muscle weakness, impaired reflexes, loss of grip strength"
Amyotrophic Lateral Sclerosis (ALS),"impaired reflexes, stiff muscles, clumsiness, loss of grip strength, muscle weakness"
Amyotrophic Lateral Sclerosis (ALS),"clumsiness, impaired reflexes, muscle weakness, loss of grip strength, stiff muscles"
Amyotrophic Lateral Sclerosis (ALS),"stiff muscles, loss of grip strength, muscle weakness, clumsiness, impaired reflexes"
Amyotrophic Lateral Sclerosis (ALS),"impaired reflexes, clumsiness, stiff muscles, muscle weakness, loss of grip strength"
Amyotrophic Lateral Sclerosis (ALS),"clumsiness, impaired reflexes, loss of grip strength, stiff muscles, muscle weakness"
Anemia,"pale skin, shortness of breath, dizziness, cold hands and feet, vomiting"
Anemia,"shortness of breath, vomiting, cold hands and feet, pale skin, dizziness"
Anemia,"pale skin, cold hands and feet, shortness of breath, dizziness, vomiting"
Anemia,"shortness of breath, dizziness, cold hands and feet, vomiting, pale skin"
Anemia,"pale skin, dizziness, cold hands and feet, shortness of breath, vomiting"
Anemia,"dizziness, shortness of breath, cold hands and feet, vomiting, pale skin"
Anemia,"pale skin, vomiting, dizziness, cold hands and feet, shortness of breath"
Anemia,"pale skin, vomiting, shortness of breath, dizziness, cold hands and feet"
Anemia,"dizziness, vomiting, cold hands and feet, shortness of breath, pale skin"
Anemia,"vomiting, dizziness, pale skin, cold hands and feet, shortness of breath"
Aneurysm,"sensitivity to light, neck pain, speech difficulty, drooping eyelids, difficulty speaking"
Aneurysm,"neck pain, difficulty speaking, sensitivity to light, speech difficulty, drooping eyelids"
Aneurysm,"difficulty speaking, speech difficulty, neck pain, sensitivity to light, drooping eyelids"
Aneurysm,"drooping eyelids, neck pain, difficulty speaking, speech difficulty, sensitivity to light"
Aneurysm,"difficulty speaking, speech difficulty, sensitivity to light, drooping eyelids, neck pain"
Aneurysm,"difficulty speaking, drooping eyelids, neck pain, speech difficulty, sensitivity to light"
Aneurysm,"difficulty speaking, speech difficulty, neck pain, drooping eyelids, sensitivity to light"
Aneurysm,"sensitivity to light, drooping eyelids, neck pain, difficulty speaking, speech difficulty"
Aneurysm,"neck pain, drooping eyelids, difficulty speaking, speech difficulty, sensitivity to light"
Aneurysm,"sensitivity to light, neck pain, difficulty speaking, speech difficulty, drooping eyelids"
Anthrax,"round face, cough, mucus production, wheezing, fatigue"
Anthrax,"round face, wheezing, cough, fatigue, mucus production"
Anthrax,"mucus production, round face, wheezing, fatigue, cough"
Anthrax,"round face, fatigue, wheezing, cough, mucus production"
Anthrax,"fatigue, mucus production, round face, wheezing, cough"
Anthrax,"fatigue, cough, mucus production, round face, wheezing"
Anthrax,"round face, wheezing, fatigue, cough, mucus production"
Anthrax,"mucus production, wheezing, cough, round face, fatigue"
Anthrax,"round face, cough, wheezing, mucus production, fatigue"
Anthrax,"cough, mucus production, fatigue, round face, wheezing"
Aplastic Anemia,"heavy menstrual bleeding, increased susceptibility to infections, weakness, insomnia, small red spots on skin"
Aplastic Anemia,"weakness, increased susceptibility to infections, small red spots on skin, insomnia, heavy menstrual bleeding"
Aplastic Anemia,"small red spots on skin, insomnia, increased susceptibility to infections, weakness, heavy menstrual bleeding"
Aplastic Anemia,"increased susceptibility to infections, weakness, small red spots on skin, heavy menstrual bleeding, insomnia"
Aplastic Anemia,"small red spots on skin, insomnia, heavy menstrual bleeding, increased susceptibility to infections, weakness"
Aplastic Anemia,"weakness, heavy menstrual bleeding, insomnia, small red spots on skin, increased susceptibility to infections"
Aplastic Anemia,"increased susceptibility to infections, small red spots on skin, weakness, heavy menstrual bleeding, insomnia"
Aplastic Anemia,"increased susceptibility to infections, weakness, insomnia, small red spots on skin, heavy menstrual bleeding"
Aplastic Anemia,"insomnia, heavy menstrual bleeding, small red spots on skin, increased susceptibility to infections, weakness"
Aplastic Anemia,"increased susceptibility to infections, small red spots on skin, weakness, insomnia, heavy menstrual bleeding"
Appendicitis,"cramping, right-side pain, sharp lower abdominal pain, loss of energy, lack of hunger"
Appendicitis,"lack of hunger, right-side pain, cramping, loss of energy, sharp lower abdominal pain"
Appendicitis,"right-side pain, sharp lower abdominal pain, loss of energy, lack of hunger, cramping"
Appendicitis,"cramping, sharp lower abdominal pain, lack of hunger, loss of energy, right-side pain"
Appendicitis,"sharp lower abdominal pain, right-side pain, cramping, loss of energy, lack of hunger"
Appendicitis,"loss of energy, lack of hunger, cramping, sharp lower abdominal pain, right-side pain"
Appendicitis,"loss of energy, right-side pain, sharp lower abdominal pain, cramping, lack of hunger"
Appendicitis,"cramping, right-side pain, lack of hunger, sharp lower abdominal pain, loss of energy"
Appendicitis,"cramping, lack of hunger, sharp lower abdominal pain, right-side pain, loss of energy"
Appendicitis,"sharp lower abdominal pain, lack of hunger, cramping, loss of energy, right-side pain"
Arthritis,"stiff neck, swelling joints, muscle weakness, movement stiffness, painful walking"
Arthritis,"painful walking, movement stiffness, swelling joints, stiff neck, muscle weakness"
Arthritis,"painful walking, muscle weakness, swelling joints, movement stiffness, stiff neck"
Arthritis,"muscle weakness, movement stiffness, painful walking, swelling joints, stiff neck"
Arthritis,"stiff neck, muscle weakness, swelling joints, movement stiffness, painful walking"
Arthritis,"painful walking, swelling joints, movement stiffness, stiff neck, muscle weakness"
Arthritis,"stiff neck, painful walking, muscle weakness, swelling joints, movement stiffness"
Arthritis,"muscle weakness, swelling joints, painful walking, movement stiffness, stiff neck"
Arthritis,"movement stiffness, muscle weakness, painful walking, stiff neck, swelling joints"
Arthritis,"swelling joints, muscle weakness, stiff neck, painful walking, movement stiffness"
Aspergillosis,"unusual genital discharge, fever, night sweats, weight loss, fatigue"
Aspergillosis,"unusual genital discharge, night sweats, fever, weight loss, fatigue"
Aspergillosis,"fever, weight loss, unusual genital discharge, fatigue, night sweats"
Aspergillosis,"fever, unusual genital discharge, weight loss, fatigue, night sweats"
Aspergillosis,"night sweats, fever, unusual genital discharge, weight loss, fatigue"
Aspergillosis,"weight loss, night sweats, fever, unusual genital discharge, fatigue"
Aspergillosis,"weight loss, fatigue, unusual genital discharge, fever, night sweats"
Aspergillosis,"fatigue, unusual genital discharge, fever, weight loss, night sweats"
Aspergillosis,"fever, fatigue, weight loss, night sweats, unusual genital discharge"
Aspergillosis,"fever, weight loss, night sweats, fatigue, unusual genital discharge"
Asthma,"shortness of breath, chest tightness, wheezing, nighttime coughing, headache"
Asthma,"chest tightness, headache, nighttime coughing, wheezing, shortness of breath"
Asthma,"chest tightness, shortness of breath, wheezing, nighttime coughing, headache"
Asthma,"chest tightness, headache, wheezing, shortness of breath, nighttime coughing"
Asthma,"wheezing, chest tightness, nighttime coughing, headache, shortness of breath"
Asthma,"headache, wheezing, nighttime coughing, chest tightness, shortness of breath"
Asthma,"wheezing, chest tightness, shortness of breath, headache, nighttime coughing"
Asthma,"nighttime coughing, chest tightness, wheezing, shortness of breath, headache"
Asthma,"nighttime coughing, headache, wheezing, chest tightness, shortness of breath"
Asthma,"chest tightness, nighttime coughing, wheezing, headache, shortness of breath"
Arrhythmia,"irregular heartbeat, chest pain, dizziness, shortness of breath, fainting"
Arrhythmia,"irregular heartbeat, chest pain, fainting, dizziness, shortness of breath"
Arrhythmia,"shortness of breath, fainting, chest pain, dizziness, irregular heartbeat"
Arrhythmia,"dizziness, irregular heartbeat, chest pain, fainting, shortness of breath"
Arrhythmia,"fainting, dizziness, chest pain, irregular heartbeat, shortness of breath"
Arrhythmia,"irregular heartbeat, fainting, chest pain, shortness of breath, dizziness"
Arrhythmia,"dizziness, irregular heartbeat, shortness of breath, fainting, chest pain"
Arrhythmia,"fainting, irregular heartbeat, shortness of breath, dizziness, chest pain"
Arrhythmia,"irregular heartbeat, chest pain, shortness of breath, dizziness, fainting"
Arrhythmia,"chest pain, dizziness, irregular heartbeat, shortness of breath, fainting"
Avian Influenza,"runny nose, eye redness, sore throat, muscle pain, loss of appetite"
Avian Influenza,"eye redness, runny nose, muscle pain, sore throat, loss of appetite"
Avian Influenza,"eye redness, loss of appetite, sore throat, muscle pain, runny nose"
Avian Influenza,"muscle pain, loss of appetite, sore throat, eye redness, runny nose"
Avian Influenza,"runny nose, loss of appetite, sore throat, eye redness, muscle pain"
Avian Influenza,"runny nose, sore throat, loss of appetite, eye redness, muscle pain"
Avian Influenza,"runny nose, sore throat, eye redness, loss of appetite, muscle pain"
Avian Influenza,"loss of appetite, eye redness, runny nose, muscle pain, sore throat"
Avian Influenza,"eye redness, sore throat, muscle pain, loss of appetite, runny nose"
Avian Influenza,"runny nose, sore throat, eye redness, muscle pain, loss of appetite"
Babesiosis,"abdominal swelling, chills, muscle pain, sweating, fatigue"
Babesiosis,"muscle pain, fatigue, chills, sweating, abdominal swelling"
Babesiosis,"abdominal swelling, fatigue, sweating, muscle pain, chills"
Babesiosis,"abdominal swelling, muscle pain, fatigue, sweating, chills"
Babesiosis,"sweating, abdominal swelling, chills, fatigue, muscle pain"
Babesiosis,"sweating, muscle pain, abdominal swelling, chills, fatigue"
Babesiosis,"muscle pain, abdominal swelling, fatigue, sweating, chills"
Babesiosis,"fatigue, muscle pain, abdominal swelling, chills, sweating"
Babesiosis,"abdominal swelling, muscle pain, sweating, fatigue, chills"
Babesiosis,"sweating, chills, abdominal swelling, fatigue, muscle pain"
Bacterial Meningitis,"sensitivity to light, sleepiness, purple rash, joint pain, seizures"
Bacterial Meningitis,"joint pain, sleepiness, seizures, sensitivity to light, purple rash"
Bacterial Meningitis,"purple rash, sensitivity to light, joint pain, seizures, sleepiness"
Bacterial Meningitis,"sleepiness, seizures, joint pain, purple rash, sensitivity to light"
Bacterial Meningitis,"purple rash, seizures, joint pain, sensitivity to light, sleepiness"
Bacterial Meningitis,"sensitivity to light, sleepiness, seizures, purple rash, joint pain"
Bacterial Meningitis,"sensitivity to light, seizures, joint pain, purple rash, sleepiness"
Bacterial Meningitis,"purple rash, sensitivity to light, joint pain, sleepiness, seizures"
Bacterial Meningitis,"joint pain, seizures, purple rash, sensitivity to light, sleepiness"
Bacterial Meningitis,"seizures, purple rash, sleepiness, joint pain, sensitivity to light"
Bartonellosis,"tingling sensation, chills, sweating, high fever, headache"
Bartonellosis,"chills, tingling sensation, high fever, sweating, headache"
Bartonellosis,"tingling sensation, sweating, headache, high fever, chills"
Bartonellosis,"tingling sensation, high fever, sweating, chills, headache"
Bartonellosis,"sweating, chills, tingling sensation, high fever, headache"
Bartonellosis,"chills, sweating, headache, tingling sensation, high fever"
Bartonellosis,"tingling sensation, chills, high fever, headache, sweating"
Bartonellosis,"chills, sweating, high fever, tingling sensation, headache"
Bartonellosis,"chills, high fever, sweating, headache, tingling sensation"
Bartonellosis,"sweating, tingling sensation, high fever, headache, chills"
Barrett Esophagus,"heartburn, difficulty swallowing, chest pain,, regurgitation, sore throat"
Barrett Esophagus,"difficulty swallowing, regurgitation, chest pain,, heartburn, sore throat"
Barrett Esophagus,"chest pain,, regurgitation, sore throat, difficulty swallowing, heartburn"
Barrett Esophagus,"chest pain,, sore throat, difficulty swallowing, heartburn, regurgitation"
Barrett Esophagus,"heartburn, sore throat, chest pain,, difficulty swallowing, regurgitation"
Barrett Esophagus,"regurgitation, heartburn, sore throat, difficulty swallowing, chest pain,"
Barrett Esophagus,"chest pain,, sore throat, regurgitation, difficulty swallowing, heartburn"
Barrett Esophagus,"chest pain,, regurgitation, heartburn, difficulty swallowing, sore throat"
Barrett Esophagus,"difficulty swallowing, heartburn, regurgitation, chest pain,, sore throat"
Barrett Esophagus,"chest pain,, heartburn, sore throat, regurgitation, difficulty swallowing"
Bell's Palsy,"difficulty smiling, dry mouth, facial twitching, ear pain, tingling sensation"
Bell's Palsy,"difficulty smiling, facial twitching, ear pain, dry mouth, tingling sensation"
Bell's Palsy,"tingling sensation, facial twitching, dry mouth, ear pain, difficulty smiling"
Bell's Palsy,"facial twitching, tingling sensation, dry mouth, ear pain, difficulty smiling"
Bell's Palsy,"dry mouth, difficulty smiling, facial twitching, ear pain, tingling sensation"
Bell's Palsy,"ear pain, difficulty smiling, facial twitching, tingling sensation, dry mouth"
Bell's Palsy,"ear pain, tingling sensation, facial twitching, difficulty smiling, dry mouth"
Bell's Palsy,"facial twitching, difficulty smiling, ear pain, tingling sensation, dry mouth"
Bell's Palsy,"facial twitching, ear pain, tingling sensation, dry mouth, difficulty smiling"
Benign Paroxysmal Positional Vertigo (BPPV),"spinning movements, vomiting, loss of balance, nausea, headache"
Benign Paroxysmal Positional Vertigo (BPPV),"loss of balance, vomiting, spinning movements, nausea, headache"
Benign Paroxysmal Positional Vertigo (BPPV),"nausea, spinning movements, loss of balance, vomiting, headache"
Benign Paroxysmal Positional Vertigo (BPPV),"vomiting, loss of balance, spinning movements, headache, nausea"
Benign Paroxysmal Positional Vertigo (BPPV),"vomiting, nausea, spinning movements, loss of balance, headache"
Benign Paroxysmal Positional Vertigo (BPPV),"vomiting, loss of balance, nausea, headache, spinning movements"
Benign Paroxysmal Positional Vertigo (BPPV),"loss of balance, spinning movements, nausea, headache, vomiting"
Benign Paroxysmal Positional Vertigo (BPPV),"vomiting, loss of balance, spinning movements, nausea, headache"
Benign Paroxysmal Positional Vertigo (BPPV),"vomiting, headache, nausea, spinning movements, loss of balance"
Benign Paroxysmal Positional Vertigo (BPPV),"loss of balance, nausea, spinning movements, headache, vomiting"
Bipolar Disorder,"feelings of hopelessness, depression, impulsive behavior, hyperactivity, anxiety"
Bipolar Disorder,"hyperactivity, depression, feelings of hopelessness, impulsive behavior, anxiety"
Bipolar Disorder,"depression, feelings of hopelessness, hyperactivity, impulsive behavior, anxiety"
Bipolar Disorder,"depression, hyperactivity, feelings of hopelessness, impulsive behavior, anxiety"
Bipolar Disorder,"impulsive behavior, anxiety, hyperactivity, feelings of hopelessness, depression"
Bipolar Disorder,"hyperactivity, anxiety, impulsive behavior, feelings of hopelessness, depression"
Bipolar Disorder,"anxiety, depression, impulsive behavior, hyperactivity, feelings of hopelessness"
Bipolar Disorder,"feelings of hopelessness, hyperactivity, impulsive behavior, depression, anxiety"
Bipolar Disorder,"feelings of hopelessness, impulsive behavior, depression, anxiety, hyperactivity"
Bipolar Disorder,"hyperactivity, feelings of hopelessness, depression, impulsive behavior, anxiety"
Bladder Cancer,"pelvic pain, leg swelling, dark-colored urine, painful urination, chronic fatigue"
Bladder Cancer,"dark-colored urine, leg swelling, painful urination, chronic fatigue, pelvic pain"
Bladder Cancer,"chronic fatigue, leg swelling, dark-colored urine, painful urination, pelvic pain"
Bladder Cancer,"painful urination, dark-colored urine, leg swelling, pelvic pain, chronic fatigue"
Bladder Cancer,"chronic fatigue, pelvic pain, leg swelling, dark-colored urine, painful urination"
Bladder Cancer,"pelvic pain, dark-colored urine, painful urination, chronic fatigue, leg swelling"
Bladder Cancer,"leg swelling, painful urination, pelvic pain, dark-colored urine, chronic fatigue"
Bladder Cancer,"chronic fatigue, pelvic pain, painful urination, leg swelling, dark-colored urine"
Bladder Cancer,"leg swelling, chronic fatigue, dark-colored urine, painful urination, pelvic pain"
Bladder Cancer,"pelvic pain, leg swelling, painful urination, dark-colored urine, chronic fatigue"
Blastomycosis,"high fever, cough, mucus production, wheezing, fatigue"
Blastomycosis,"cough, wheezing, high fever, mucus production, fatigue"
Blastomycosis,"fatigue, cough, wheezing, high fever, mucus production"
Blastomycosis,"wheezing, cough, fatigue, high fever, mucus production"
Blastomycosis,"cough, high fever, mucus production, wheezing, fatigue"
Blastomycosis,"cough, mucus production, high fever, fatigue, wheezing"
Blastomycosis,"mucus production, fatigue, wheezing, high fever, cough"
Blastomycosis,"fatigue, wheezing, high fever, mucus production, cough"
Blastomycosis,"wheezing, fatigue, mucus production, cough, high fever"
Blastomycosis,"mucus production, wheezing, cough, high fever, fatigue"
Brain Tumor,"headache, mood swings, cough, speech difficulty, seizures"
Brain Tumor,"headache, mood swings, seizures, speech difficulty, cough"
Brain Tumor,"cough, speech difficulty, headache, mood swings, seizures"
Brain Tumor,"speech difficulty, headache, cough, mood swings, seizures"
Brain Tumor,"headache, seizures, cough, speech difficulty, mood swings"
Brain Tumor,"mood swings, headache, seizures, speech difficulty, cough"
Brain Tumor,"cough, seizures, speech difficulty, mood swings, headache"
Brain Tumor,"headache, seizures, cough, mood swings, speech difficulty"
Brain Tumor,"cough, headache, mood swings, speech difficulty, seizures"
Brain Tumor,"cough, headache, seizures, mood swings, speech difficulty"
Breast Cancer,"severe abdominal pain, fever, night sweats, weight loss, fatigue"
Breast Cancer,"fever, severe abdominal pain, fatigue, weight loss, night sweats"
Breast Cancer,"weight loss, severe abdominal pain, night sweats, fatigue, fever"
Breast Cancer,"severe abdominal pain, weight loss, fatigue, night sweats, fever"
Breast Cancer,"fatigue, weight loss, severe abdominal pain, fever, night sweats"
Breast Cancer,"night sweats, fever, severe abdominal pain, fatigue, weight loss"
Breast Cancer,"night sweats, fatigue, weight loss, fever, severe abdominal pain"
Breast Cancer,"fever, weight loss, fatigue, severe abdominal pain, night sweats"
Breast Cancer,"night sweats, weight loss, fever, fatigue, severe abdominal pain"
Breast Cancer,"fever, weight loss, severe abdominal pain, fatigue, night sweats"
Bronchial Asthma,"fatigue, breathlessness, high fever, cough, family history"
Bronchial Asthma,"high fever, family history, breathlessness, fatigue, cough"
Bronchial Asthma,"high fever, fatigue, cough, family history, breathlessness"
Bronchial Asthma,"breathlessness, cough, high fever, family history, fatigue"
Bronchial Asthma,"family history, fatigue, cough, high fever, breathlessness"
Bronchial Asthma,"high fever, fatigue, breathlessness, family history, cough"
Bronchial Asthma,"high fever, cough, family history, breathlessness, fatigue"
Bronchial Asthma,"cough, high fever, fatigue, family history, breathlessness"
Bronchial Asthma,"fatigue, cough, high fever, family history, breathlessness"
Bronchial Asthma,"family history, fatigue, breathlessness, high fever, cough"
Bronchiectasis,"chest tightness, recurrent pneumonia, chronic fatigue, frequent infections, persistent cough"
Bronchiectasis,"frequent infections, chest tightness, recurrent pneumonia, chronic fatigue, persistent cough"
Bronchiectasis,"frequent infections, chronic fatigue, chest tightness, recurrent pneumonia, persistent cough"
Bronchiectasis,"chronic fatigue, persistent cough, frequent infections, recurrent pneumonia, chest tightness"
Bronchiectasis,"recurrent pneumonia, chronic fatigue, frequent infections, persistent cough, chest tightness"
Bronchiectasis,"recurrent pneumonia, frequent infections, chronic fatigue, persistent cough, chest tightness"
Bronchiectasis,"persistent cough, frequent infections, chest tightness, chronic fatigue, recurrent pneumonia"
Bronchiectasis,"frequent infections, persistent cough, chest tightness, recurrent pneumonia, chronic fatigue"
Bronchiectasis,"frequent infections, persistent cough, recurrent pneumonia, chronic fatigue, chest tightness"
Bronchiectasis,"chronic fatigue, chest tightness, frequent infections, recurrent pneumonia, persistent cough"
Bronchitis,"persistent cough with mucus, chest discomfort, sore throat, wheezing, confusion"
Bronchitis,"confusion, sore throat, wheezing, persistent cough with mucus, chest discomfort"
Bronchitis,"wheezing, confusion, sore throat, persistent cough with mucus, chest discomfort"
Bronchitis,"sore throat, chest discomfort, persistent cough with mucus, confusion, wheezing"
Bronchitis,"sore throat, wheezing, confusion, chest discomfort, persistent cough with mucus"
Bronchitis,"chest discomfort, persistent cough with mucus, confusion, sore throat, wheezing"
Bronchitis,"confusion, persistent cough with mucus, sore throat, chest discomfort, wheezing"
Bronchitis,"chest discomfort, persistent cough with mucus, confusion, wheezing, sore throat"
Bronchitis,"confusion, chest discomfort, persistent cough with mucus, sore throat, wheezing"
Bronchitis,"sore throat, chest discomfort, wheezing, persistent cough with mucus, confusion"
Brucellosis,"night sweats, joint pain, fatigue, swelling of testicles, vomiting"
Brucellosis,"night sweats, swelling of testicles, fatigue, joint pain, vomiting"
Brucellosis,"night sweats, vomiting, fatigue, joint pain, swelling of testicles"
Brucellosis,"fatigue, swelling of testicles, vomiting, joint pain, night sweats"
Brucellosis,"swelling of testicles, fatigue, night sweats, joint pain, vomiting"
Brucellosis,"vomiting, swelling of testicles, fatigue, joint pain, night sweats"
Brucellosis,"joint pain, vomiting, swelling of testicles, fatigue, night sweats"
