Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5
Acne,skin rash,blackheads,red spots on skin,scurring,pus filled pimples
Acne,scurring,pus filled pimples,blackheads,red spots on skin,skin rash
Acne,pus filled pimples,blackheads,red spots on skin,scurring,skin rash
Achalasia ,difficulty swallowing,chest pain,heartburn,regurgitation,weight loss
Achalasia ,regurgitation,chest pain,weight loss,heartburn,difficulty swallowing
Achalasia ,chest pain,regurgitation,difficulty swallowing,weight loss,heartburn
Achalasia ,heartburn,chest pain,weight loss,regurgitation,difficulty swallowing
Achalasia ,difficulty swallowing,weight loss,chest pain,heartburn,regurgitation
Achalasia ,heartburn,weight loss,difficulty swallowing,chest pain,regurgitation
Achalasia ,difficulty swallowing,weight loss,heartburn,chest pain,regurgitation
Achalasia ,difficulty swallowing,chest pain,regurgitation,weight loss,heartburn
Achalasia ,chest pain,heartburn,difficulty swallowing,regurgitation,weight loss
Achalasia ,regurgitation,weight loss,difficulty swallowing,heartburn,chest pain
Acute Bronchitis,hoarseness,tightness in chest,persistent cough,chest discomfort,runny nose
Acute Bronchitis,runny nose,persistent cough,hoarseness,chest discomfort,tightness in chest
Acute Bronchitis,hoarseness,runny nose,chest discomfort,persistent cough,tightness in chest
Acute Bronchitis,persistent cough,runny nose,tightness in chest,hoarseness,chest discomfort
Acute Bronchitis,hoarseness,chest discomfort,runny nose,tightness in chest,persistent cough
Acute Bronchitis,runny nose,hoarseness,persistent cough,chest discomfort,tightness in chest
Acute Bronchitis,runny nose,persistent cough,tightness in chest,chest discomfort,hoarseness
Acute Bronchitis,chest discomfort,tightness in chest,persistent cough,runny nose,hoarseness
Acute Bronchitis,persistent cough,chest discomfort,tightness in chest,hoarseness,runny nose
Acute Bronchitis,runny nose,tightness in chest,hoarseness,chest discomfort,persistent cough
Addison's Disease,depression,darkened skin,dehydration,muscle weakness,jaundice
Addison's Disease,jaundice,depression,muscle weakness,dehydration,darkened skin
Addison's Disease,depression,jaundice,darkened skin,dehydration,muscle weakness
Addison's Disease,dehydration,jaundice,muscle weakness,depression,darkened skin
Addison's Disease,muscle weakness,depression,jaundice,dehydration,darkened skin
Addison's Disease,darkened skin,dehydration,jaundice,depression,muscle weakness
Addison's Disease,darkened skin,dehydration,muscle weakness,jaundice,depression
Addison's Disease,depression,muscle weakness,dehydration,jaundice,darkened skin
Addison's Disease,depression,dehydration,jaundice,darkened skin,muscle weakness
Addison's Disease,jaundice,dehydration,depression,darkened skin,muscle weakness
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,distention of abdomen,swelling of stomach
Alcoholic hepatitis,distention of abdomen,yellowish skin,vomiting,swelling of stomach,abdominal pain
Alcoholic hepatitis,vomiting,yellowish skin,distention of abdomen,abdominal pain,swelling of stomach
Alcoholic hepatitis,swelling of stomach,abdominal pain,yellowish skin,distention of abdomen,vomiting
Alcoholic hepatitis,swelling of stomach,distention of abdomen,abdominal pain,vomiting,yellowish skin
Alcoholic hepatitis,vomiting,distention of abdomen,yellowish skin,swelling of stomach,abdominal pain
Alcoholic hepatitis,distention of abdomen,abdominal pain,yellowish skin,vomiting,swelling of stomach
Alcoholic hepatitis,abdominal pain,swelling of stomach,vomiting,yellowish skin,distention of abdomen
Alcoholic hepatitis,yellowish skin,abdominal pain,vomiting,distention of abdomen,swelling of stomach
Alcoholic hepatitis,yellowish skin,distention of abdomen,swelling of stomach,vomiting,abdominal pain
Allergy,shivering,watering from eyes,chills,continuous sneezing,runny nose
Allergy,shivering,chills,watering from eyes,runny nose,continuous sneezing
Allergy,chills,continuous sneezing,watering from eyes,runny nose,shivering
Allergy,chills,continuous sneezing,shivering,watering from eyes,runny nose
Allergy,continuous sneezing,shivering,runny nose,chills,watering from eyes
Allergy,runny nose,chills,watering from eyes,continuous sneezing,shivering
Allergy,watering from eyes,shivering,chills,runny nose,continuous sneezing
Allergy,runny nose,continuous sneezing,shivering,chills,watering from eyes
Allergy,runny nose,shivering,chills,watering from eyes,continuous sneezing
Allergy,watering from eyes,chills,continuous sneezing,runny nose,shivering
Alzheimer's Disease,uncontrollable leg movement,fever,night sweats,weight loss,fatigue
Alzheimer's Disease,fatigue,uncontrollable leg movement,weight loss,fever,night sweats
Alzheimer's Disease,uncontrollable leg movement,fatigue,night sweats,weight loss,fever
Alzheimer's Disease,fever,night sweats,weight loss,fatigue,uncontrollable leg movement
Alzheimer's Disease,night sweats,fever,fatigue,weight loss,uncontrollable leg movement
Alzheimer's Disease,night sweats,weight loss,fatigue,fever,uncontrollable leg movement
Alzheimer's Disease,uncontrollable leg movement,weight loss,fever,fatigue,night sweats
Alzheimer's Disease,weight loss,fatigue,night sweats,uncontrollable leg movement,fever
Alzheimer's Disease,fever,uncontrollable leg movement,weight loss,fatigue,night sweats
Alzheimer's Disease,fever,night sweats,fatigue,uncontrollable leg movement,weight loss
Amebiasis,swollen salivary glands,cough,mucus production,wheezing,fatigue
Amebiasis,wheezing,swollen salivary glands,mucus production,fatigue,cough
Amebiasis,mucus production,fatigue,cough,swollen salivary glands,wheezing
Amebiasis,mucus production,cough,swollen salivary glands,fatigue,wheezing
Amebiasis,mucus production,wheezing,swollen salivary glands,cough,fatigue
Amebiasis,swollen salivary glands,fatigue,wheezing,cough,mucus production
Amebiasis,swollen salivary glands,mucus production,fatigue,cough,wheezing
Amebiasis,fatigue,cough,mucus production,swollen salivary glands,wheezing
Amebiasis,mucus production,wheezing,swollen salivary glands,fatigue,cough
Amebiasis,swollen salivary glands,mucus production,wheezing,cough,fatigue
Anemia,pale skin,shortness of breath,dizziness,cold hands and feet,vomiting
Anemia,vomiting,cold hands and feet,shortness of breath,pale skin,dizziness
Anemia,dizziness,vomiting,pale skin,cold hands and feet,shortness of breath
Anemia,dizziness,vomiting,pale skin,shortness of breath,cold hands and feet
Anemia,dizziness,vomiting,cold hands and feet,pale skin,shortness of breath
Anemia,pale skin,dizziness,vomiting,cold hands and feet,shortness of breath
Anemia,vomiting,cold hands and feet,pale skin,shortness of breath,dizziness
Anemia,dizziness,shortness of breath,pale skin,vomiting,cold hands and feet
Anemia,cold hands and feet,vomiting,dizziness,pale skin,shortness of breath
Anemia,shortness of breath,cold hands and feet,vomiting,dizziness,pale skin
Aneurysm,sensitivity to light,neck pain,speech difficulty,drooping eyelids,difficulty speaking
Aneurysm,speech difficulty,difficulty speaking,neck pain,drooping eyelids,sensitivity to light
Aneurysm,neck pain,drooping eyelids,sensitivity to light,difficulty speaking,speech difficulty
Aneurysm,difficulty speaking,neck pain,speech difficulty,sensitivity to light,drooping eyelids
Aneurysm,drooping eyelids,difficulty speaking,speech difficulty,sensitivity to light,neck pain
Aneurysm,speech difficulty,drooping eyelids,difficulty speaking,sensitivity to light,neck pain
Aneurysm,neck pain,speech difficulty,difficulty speaking,sensitivity to light,drooping eyelids
Aneurysm,neck pain,speech difficulty,sensitivity to light,difficulty speaking,drooping eyelids
Aneurysm,speech difficulty,drooping eyelids,difficulty speaking,neck pain,sensitivity to light
Aneurysm,speech difficulty,neck pain,drooping eyelids,difficulty speaking,sensitivity to light
Anthrax,round face,cough,mucus production,wheezing,fatigue
Anthrax,round face,wheezing,mucus production,fatigue,cough
Anthrax,mucus production,round face,wheezing,cough,fatigue
Anthrax,fatigue,round face,cough,mucus production,wheezing
Anthrax,cough,wheezing,round face,fatigue,mucus production
Anthrax,wheezing,round face,mucus production,cough,fatigue
Anthrax,mucus production,cough,fatigue,round face,wheezing
Anthrax,cough,fatigue,mucus production,wheezing,round face
Anthrax,fatigue,cough,wheezing,mucus production,round face
Anthrax,mucus production,cough,wheezing,round face,fatigue
Aplastic Anemia,heavy menstrual bleeding,increased susceptibility to infections,weakness,insomnia,small red spots on skin
Aplastic Anemia,small red spots on skin,weakness,heavy menstrual bleeding,insomnia,increased susceptibility to infections
Aplastic Anemia,small red spots on skin,heavy menstrual bleeding,insomnia,increased susceptibility to infections,weakness
Aplastic Anemia,increased susceptibility to infections,heavy menstrual bleeding,small red spots on skin,weakness,insomnia
Aplastic Anemia,increased susceptibility to infections,heavy menstrual bleeding,weakness,small red spots on skin,insomnia
Aplastic Anemia,heavy menstrual bleeding,increased susceptibility to infections,insomnia,small red spots on skin,weakness
Aplastic Anemia,increased susceptibility to infections,insomnia,heavy menstrual bleeding,weakness,small red spots on skin
Aplastic Anemia,increased susceptibility to infections,weakness,insomnia,heavy menstrual bleeding,small red spots on skin
Aplastic Anemia,weakness,heavy menstrual bleeding,small red spots on skin,increased susceptibility to infections,insomnia
Aplastic Anemia,weakness,insomnia,heavy menstrual bleeding,increased susceptibility to infections,small red spots on skin
Appendicitis,cramping,right-side pain,sharp lower abdominal pain,loss of energy,lack of hunger
Appendicitis,sharp lower abdominal pain,right-side pain,cramping,loss of energy,lack of hunger
Appendicitis,lack of hunger,right-side pain,sharp lower abdominal pain,loss of energy,cramping
Appendicitis,cramping,loss of energy,lack of hunger,right-side pain,sharp lower abdominal pain
Appendicitis,loss of energy,lack of hunger,right-side pain,sharp lower abdominal pain,cramping
Appendicitis,lack of hunger,loss of energy,right-side pain,cramping,sharp lower abdominal pain
Appendicitis,lack of hunger,cramping,right-side pain,sharp lower abdominal pain,loss of energy
Appendicitis,cramping,right-side pain,lack of hunger,loss of energy,sharp lower abdominal pain
Appendicitis,sharp lower abdominal pain,lack of hunger,cramping,loss of energy,right-side pain
Appendicitis,loss of energy,sharp lower abdominal pain,cramping,lack of hunger,right-side pain
Arthritis,stiff neck,swelling joints,muscle weakness,movement stiffness,painful walking
Arthritis,muscle weakness,swelling joints,stiff neck,movement stiffness,painful walking
Arthritis,painful walking,muscle weakness,movement stiffness,stiff neck,swelling joints
Arthritis,swelling joints,painful walking,stiff neck,movement stiffness,muscle weakness
Arthritis,swelling joints,painful walking,movement stiffness,stiff neck,muscle weakness
Arthritis,painful walking,movement stiffness,swelling joints,stiff neck,muscle weakness
Arthritis,movement stiffness,muscle weakness,stiff neck,painful walking,swelling joints
Arthritis,painful walking,movement stiffness,stiff neck,swelling joints,muscle weakness
Arthritis,stiff neck,painful walking,muscle weakness,movement stiffness,swelling joints
Arthritis,muscle weakness,swelling joints,movement stiffness,painful walking,stiff neck
Aspergillosis,unusual genital discharge,fever,night sweats,weight loss,fatigue
Aspergillosis,night sweats,weight loss,fatigue,fever,unusual genital discharge
Aspergillosis,night sweats,weight loss,unusual genital discharge,fever,fatigue
Aspergillosis,weight loss,fatigue,fever,night sweats,unusual genital discharge
Aspergillosis,night sweats,unusual genital discharge,fatigue,fever,weight loss
Aspergillosis,weight loss,night sweats,fatigue,fever,unusual genital discharge
Aspergillosis,fatigue,unusual genital discharge,fever,weight loss,night sweats
Aspergillosis,fatigue,fever,unusual genital discharge,weight loss,night sweats
Aspergillosis,unusual genital discharge,weight loss,night sweats,fatigue,fever
Aspergillosis,unusual genital discharge,weight loss,fatigue,night sweats,fever
Asthma,shortness of breath,chest tightness,wheezing,nighttime coughing,headache
Asthma,chest tightness,nighttime coughing,shortness of breath,headache,wheezing
Asthma,shortness of breath,wheezing,chest tightness,headache,nighttime coughing
Asthma,shortness of breath,nighttime coughing,chest tightness,wheezing,headache
Asthma,shortness of breath,chest tightness,nighttime coughing,wheezing,headache
Asthma,headache,shortness of breath,wheezing,chest tightness,nighttime coughing
Asthma,nighttime coughing,chest tightness,headache,wheezing,shortness of breath
Asthma,chest tightness,wheezing,nighttime coughing,shortness of breath,headache
Asthma,shortness of breath,nighttime coughing,chest tightness,headache,wheezing
Asthma,chest tightness,headache,wheezing,nighttime coughing,shortness of breath
Arrhythmia,irregular heartbeat,chest pain,dizziness,shortness of breath,fainting
Arrhythmia,shortness of breath,chest pain,dizziness,fainting,irregular heartbeat
Arrhythmia,irregular heartbeat,shortness of breath,fainting,chest pain,dizziness
Arrhythmia,fainting,chest pain,irregular heartbeat,shortness of breath,dizziness
Arrhythmia,shortness of breath,fainting,chest pain,irregular heartbeat,dizziness
Arrhythmia,dizziness,chest pain,shortness of breath,irregular heartbeat,fainting
Arrhythmia,dizziness,chest pain,irregular heartbeat,fainting,shortness of breath
Arrhythmia,fainting,dizziness,chest pain,shortness of breath,irregular heartbeat
Arrhythmia,irregular heartbeat,chest pain,dizziness,fainting,shortness of breath
Arrhythmia,dizziness,shortness of breath,fainting,irregular heartbeat,chest pain
Avian Influenza,runny nose,eye redness,sore throat,muscle pain,loss of appetite
Avian Influenza,sore throat,runny nose,loss of appetite,eye redness,muscle pain
Avian Influenza,runny nose,sore throat,muscle pain,eye redness,loss of appetite
Avian Influenza,runny nose,muscle pain,eye redness,loss of appetite,sore throat
Avian Influenza,loss of appetite,runny nose,eye redness,sore throat,muscle pain
Avian Influenza,loss of appetite,runny nose,sore throat,eye redness,muscle pain
Avian Influenza,loss of appetite,eye redness,muscle pain,runny nose,sore throat
Avian Influenza,sore throat,eye redness,runny nose,loss of appetite,muscle pain
Avian Influenza,eye redness,muscle pain,sore throat,runny nose,loss of appetite
Avian Influenza,muscle pain,eye redness,sore throat,loss of appetite,runny nose
Babesiosis,abdominal swelling,chills,muscle pain,sweating,fatigue
Babesiosis,sweating,fatigue,chills,muscle pain,abdominal swelling
Babesiosis,fatigue,chills,muscle pain,sweating,abdominal swelling
Babesiosis,muscle pain,fatigue,abdominal swelling,sweating,chills
Babesiosis,abdominal swelling,muscle pain,chills,fatigue,sweating
Babesiosis,chills,fatigue,muscle pain,abdominal swelling,sweating
Babesiosis,muscle pain,chills,fatigue,sweating,abdominal swelling
Babesiosis,fatigue,sweating,chills,abdominal swelling,muscle pain
Babesiosis,muscle pain,fatigue,chills,sweating,abdominal swelling
Babesiosis,abdominal swelling,sweating,muscle pain,fatigue,chills
Bacterial Meningitis,sensitivity to light,sleepiness,purple rash,joint pain,seizures
Bacterial Meningitis,seizures,sensitivity to light,joint pain,sleepiness,purple rash
Bacterial Meningitis,sleepiness,joint pain,purple rash,sensitivity to light,seizures
Bacterial Meningitis,sensitivity to light,purple rash,sleepiness,joint pain,seizures
Bacterial Meningitis,sensitivity to light,purple rash,sleepiness,seizures,joint pain
Bacterial Meningitis,purple rash,joint pain,sleepiness,seizures,sensitivity to light
Bacterial Meningitis,sensitivity to light,joint pain,seizures,purple rash,sleepiness
Bacterial Meningitis,joint pain,purple rash,sensitivity to light,sleepiness,seizures
Bacterial Meningitis,purple rash,seizures,sleepiness,sensitivity to light,joint pain
Bacterial Meningitis,purple rash,sensitivity to light,joint pain,seizures,sleepiness
Bartonellosis,tingling sensation,chills,sweating,high fever,headache
Bartonellosis,chills,high fever,sweating,tingling sensation,headache
Bartonellosis,headache,high fever,chills,sweating,tingling sensation
Bartonellosis,tingling sensation,chills,headache,sweating,high fever
Bartonellosis,tingling sensation,high fever,chills,sweating,headache
Bartonellosis,headache,sweating,tingling sensation,high fever,chills
Bartonellosis,chills,headache,tingling sensation,high fever,sweating
Bartonellosis,headache,chills,tingling sensation,sweating,high fever
Bartonellosis,sweating,headache,chills,high fever,tingling sensation
Bartonellosis,high fever,chills,sweating,tingling sensation,headache
Barrett Esophagus,heartburn,difficulty swallowing,"chest pain,",regurgitation,sore throat
Barrett Esophagus,regurgitation,difficulty swallowing,heartburn,"chest pain,",sore throat
Barrett Esophagus,"chest pain,",sore throat,regurgitation,difficulty swallowing,heartburn
Barrett Esophagus,"chest pain,",heartburn,regurgitation,difficulty swallowing,sore throat
Barrett Esophagus,regurgitation,difficulty swallowing,sore throat,"chest pain,",heartburn
Barrett Esophagus,difficulty swallowing,heartburn,"chest pain,",regurgitation,sore throat
Barrett Esophagus,regurgitation,heartburn,difficulty swallowing,sore throat,"chest pain,"
Barrett Esophagus,regurgitation,"chest pain,",sore throat,difficulty swallowing,heartburn
Barrett Esophagus,heartburn,difficulty swallowing,sore throat,regurgitation,"chest pain,"
Barrett Esophagus,"chest pain,",sore throat,heartburn,difficulty swallowing,regurgitation
Bell's Palsy,difficulty smiling,dry mouth,facial twitching,ear pain,tingling sensation
Bell's Palsy,difficulty smiling,tingling sensation,dry mouth,ear pain,facial twitching
Bell's Palsy,facial twitching,ear pain,difficulty smiling,tingling sensation,dry mouth
Bell's Palsy,ear pain,difficulty smiling,tingling sensation,facial twitching,dry mouth
Bell's Palsy,tingling sensation,dry mouth,ear pain,facial twitching,difficulty smiling
Bell's Palsy,facial twitching,tingling sensation,difficulty smiling,dry mouth,ear pain
Bell's Palsy,difficulty smiling,dry mouth,ear pain,facial twitching,tingling sensation
Bell's Palsy,ear pain,tingling sensation,dry mouth,difficulty smiling,facial twitching
Bell's Palsy,tingling sensation,ear pain,dry mouth,facial twitching,difficulty smiling
Bell's Palsy,tingling sensation,facial twitching,dry mouth,difficulty smiling,ear pain
Benign Paroxysmal Positional Vertigo (BPPV),spinning movements,vomiting,loss of balance,nausea,headache
Benign Paroxysmal Positional Vertigo (BPPV),spinning movements,headache,loss of balance,nausea,vomiting
Benign Paroxysmal Positional Vertigo (BPPV),spinning movements,loss of balance,headache,nausea,vomiting
Benign Paroxysmal Positional Vertigo (BPPV),vomiting,loss of balance,nausea,spinning movements,headache
Benign Paroxysmal Positional Vertigo (BPPV),nausea,spinning movements,vomiting,loss of balance,headache
Benign Paroxysmal Positional Vertigo (BPPV),loss of balance,vomiting,nausea,spinning movements,headache
Benign Paroxysmal Positional Vertigo (BPPV),vomiting,spinning movements,nausea,loss of balance,headache
Benign Paroxysmal Positional Vertigo (BPPV),loss of balance,nausea,spinning movements,headache,vomiting
Benign Paroxysmal Positional Vertigo (BPPV),loss of balance,headache,vomiting,spinning movements,nausea
Benign Paroxysmal Positional Vertigo (BPPV),nausea,headache,spinning movements,loss of balance,vomiting
Bipolar Disorder,feelings of hopelessness,depression,impulsive behavior,hyperactivity,anxiety
Bipolar Disorder,hyperactivity,anxiety,impulsive behavior,depression,feelings of hopelessness
Bipolar Disorder,anxiety,hyperactivity,impulsive behavior,feelings of hopelessness,depression
Bipolar Disorder,feelings of hopelessness,impulsive behavior,hyperactivity,depression,anxiety
Bipolar Disorder,anxiety,impulsive behavior,hyperactivity,depression,feelings of hopelessness
Bipolar Disorder,impulsive behavior,depression,anxiety,hyperactivity,feelings of hopelessness
Bipolar Disorder,anxiety,depression,hyperactivity,feelings of hopelessness,impulsive behavior
Bipolar Disorder,feelings of hopelessness,depression,anxiety,impulsive behavior,hyperactivity
Bipolar Disorder,depression,feelings of hopelessness,impulsive behavior,anxiety,hyperactivity
Bipolar Disorder,impulsive behavior,feelings of hopelessness,anxiety,hyperactivity,depression
Bladder Cancer,pelvic pain,leg swelling,dark-colored urine,painful urination,chronic fatigue
Bladder Cancer,pelvic pain,leg swelling,dark-colored urine,chronic fatigue,painful urination
Bladder Cancer,painful urination,leg swelling,dark-colored urine,chronic fatigue,pelvic pain
Bladder Cancer,leg swelling,chronic fatigue,dark-colored urine,painful urination,pelvic pain
Bladder Cancer,pelvic pain,painful urination,chronic fatigue,dark-colored urine,leg swelling
Bladder Cancer,painful urination,chronic fatigue,leg swelling,dark-colored urine,pelvic pain
Bladder Cancer,leg swelling,dark-colored urine,chronic fatigue,painful urination,pelvic pain
Bladder Cancer,chronic fatigue,pelvic pain,leg swelling,painful urination,dark-colored urine
Bladder Cancer,pelvic pain,chronic fatigue,dark-colored urine,painful urination,leg swelling
Bladder Cancer,leg swelling,dark-colored urine,chronic fatigue,pelvic pain,painful urination
Blastomycosis,high fever,cough,mucus production,wheezing,fatigue
Blastomycosis,wheezing,high fever,fatigue,mucus production,cough
Blastomycosis,high fever,cough,fatigue,wheezing,mucus production
Blastomycosis,cough,fatigue,high fever,mucus production,wheezing
Blastomycosis,mucus production,fatigue,cough,wheezing,high fever
Blastomycosis,fatigue,wheezing,cough,mucus production,high fever
Blastomycosis,high fever,mucus production,fatigue,wheezing,cough
Blastomycosis,wheezing,fatigue,high fever,mucus production,cough
Blastomycosis,cough,wheezing,mucus production,fatigue,high fever
Blastomycosis,fatigue,high fever,wheezing,cough,mucus production
Brain Tumor,headache,mood swings,cough,speech difficulty,seizures
Brain Tumor,headache,speech difficulty,mood swings,cough,seizures
Brain Tumor,cough,mood swings,seizures,speech difficulty,headache
Brain Tumor,headache,seizures,speech difficulty,cough,mood swings
Brain Tumor,cough,speech difficulty,seizures,mood swings,headache
Brain Tumor,speech difficulty,headache,seizures,mood swings,cough
Brain Tumor,cough,speech difficulty,mood swings,headache,seizures
Brain Tumor,seizures,mood swings,headache,cough,speech difficulty
Brain Tumor,speech difficulty,headache,cough,seizures,mood swings
Brain Tumor,headache,cough,speech difficulty,mood swings,seizures
Breast Cancer,severe abdominal pain,fever,night sweats,weight loss,fatigue
Breast Cancer,fatigue,night sweats,severe abdominal pain,weight loss,fever
Breast Cancer,weight loss,fever,severe abdominal pain,night sweats,fatigue
Breast Cancer,fatigue,weight loss,night sweats,severe abdominal pain,fever
Breast Cancer,fever,weight loss,fatigue,severe abdominal pain,night sweats
Breast Cancer,severe abdominal pain,fatigue,night sweats,fever,weight loss
Breast Cancer,night sweats,severe abdominal pain,fever,weight loss,fatigue
Breast Cancer,weight loss,fatigue,fever,night sweats,severe abdominal pain
Breast Cancer,fatigue,severe abdominal pain,weight loss,fever,night sweats
Breast Cancer,severe abdominal pain,night sweats,weight loss,fever,fatigue
Bronchial Asthma,fatigue,breathlessness,high fever,cough,family history
Bronchial Asthma,high fever,fatigue,family history,breathlessness,cough
Bronchial Asthma,breathlessness,fatigue,family history,high fever,cough
Bronchial Asthma,breathlessness,high fever,fatigue,family history,cough
Bronchial Asthma,family history,high fever,breathlessness,fatigue,cough
Bronchial Asthma,cough,fatigue,family history,breathlessness,high fever
Bronchial Asthma,high fever,family history,fatigue,breathlessness,cough
Bronchial Asthma,family history,cough,high fever,fatigue,breathlessness
Bronchial Asthma,breathlessness,cough,high fever,fatigue,family history
Bronchial Asthma,family history,cough,fatigue,breathlessness,high fever
Bronchiectasis,chest tightness,recurrent pneumonia,chronic fatigue,frequent infections,persistent cough
Bronchiectasis,recurrent pneumonia,persistent cough,frequent infections,chronic fatigue,chest tightness
Bronchiectasis,persistent cough,chronic fatigue,frequent infections,recurrent pneumonia,chest tightness
Bronchiectasis,chronic fatigue,recurrent pneumonia,chest tightness,frequent infections,persistent cough
Bronchiectasis,frequent infections,recurrent pneumonia,chest tightness,chronic fatigue,persistent cough
Bronchiectasis,frequent infections,recurrent pneumonia,chronic fatigue,chest tightness,persistent cough
Bronchiectasis,chronic fatigue,frequent infections,persistent cough,chest tightness,recurrent pneumonia
Bronchiectasis,chest tightness,recurrent pneumonia,persistent cough,frequent infections,chronic fatigue
Bronchiectasis,chest tightness,persistent cough,chronic fatigue,recurrent pneumonia,frequent infections
Bronchiectasis,chronic fatigue,frequent infections,recurrent pneumonia,chest tightness,persistent cough
Bronchitis,persistent cough with mucus,chest discomfort,sore throat,wheezing,confusion
Bronchitis,wheezing,confusion,sore throat,chest discomfort,persistent cough with mucus
Bronchitis,persistent cough with mucus,sore throat,wheezing,chest discomfort,confusion
Bronchitis,persistent cough with mucus,confusion,sore throat,chest discomfort,wheezing
Bronchitis,chest discomfort,wheezing,sore throat,confusion,persistent cough with mucus
Bronchitis,persistent cough with mucus,wheezing,confusion,sore throat,chest discomfort
Bronchitis,wheezing,persistent cough with mucus,sore throat,chest discomfort,confusion
Bronchitis,confusion,persistent cough with mucus,sore throat,wheezing,chest discomfort
Bronchitis,confusion,persistent cough with mucus,wheezing,chest discomfort,sore throat
Bronchitis,confusion,persistent cough with mucus,wheezing,sore throat,chest discomfort
Brucellosis,night sweats,joint pain,fatigue,swelling of testicles,vomiting
Brucellosis,night sweats,fatigue,swelling of testicles,vomiting,joint pain
Brucellosis,swelling of testicles,night sweats,joint pain,fatigue,vomiting
Brucellosis,swelling of testicles,night sweats,vomiting,fatigue,joint pain
Brucellosis,joint pain,night sweats,vomiting,swelling of testicles,fatigue
Brucellosis,night sweats,joint pain,swelling of testicles,vomiting,fatigue
Brucellosis,swelling of testicles,joint pain,vomiting,fatigue,night sweats
Brucellosis,night sweats,fatigue,joint pain,swelling of testicles,vomiting
Brucellosis,night sweats,fatigue,vomiting,joint pain,swelling of testicles
Brucellosis,swelling of testicles,vomiting,joint pain,fatigue,night sweats
COVID-19,cough,loss of taste or smell,shortness of breath,fatigue,severe headache
COVID-19,shortness of breath,severe headache,fatigue,loss of taste or smell,cough
COVID-19,severe headache,shortness of breath,loss of taste or smell,cough,fatigue
COVID-19,cough,fatigue,loss of taste or smell,shortness of breath,severe headache
COVID-19,shortness of breath,cough,fatigue,loss of taste or smell,severe headache
COVID-19,severe headache,loss of taste or smell,fatigue,cough,shortness of breath
COVID-19,fatigue,severe headache,shortness of breath,cough,loss of taste or smell
COVID-19,cough,severe headache,shortness of breath,loss of taste or smell,fatigue
COVID-19,severe headache,fatigue,loss of taste or smell,shortness of breath,cough
COVID-19,fatigue,severe headache,loss of taste or smell,cough,shortness of breath
Campylobacteriosis,diarrhea,stomach cramps,fever,nausea,headache
Campylobacteriosis,diarrhea,fever,headache,stomach cramps,nausea
Campylobacteriosis,nausea,fever,diarrhea,headache,stomach cramps
Campylobacteriosis,stomach cramps,fever,headache,nausea,diarrhea
Campylobacteriosis,fever,diarrhea,nausea,stomach cramps,headache
Campylobacteriosis,stomach cramps,nausea,diarrhea,headache,fever
Campylobacteriosis,stomach cramps,fever,nausea,headache,diarrhea
Campylobacteriosis,stomach cramps,diarrhea,fever,headache,nausea
